iteration,train_loss,train_perplexity
1,23.763576,485165195.409790
20,17.696484,48471359.840220
40,14.995575,3254582.823538
60,20.890781,485165195.409790
80,25.879858,485165195.409790
100,34.107265,485165195.409790
120,38.291714,485165195.409790
140,39.625868,485165195.409790
160,39.886889,485165195.409790
180,39.882306,485165195.409790
200,39.867200,485165195.409790
220,44.155934,485165195.409790
240,44.882484,485165195.409790
260,47.554158,485165195.409790
280,52.452152,485165195.409790
300,56.874301,485165195.409790
320,61.315892,485165195.409790
340,66.267486,485165195.409790
360,70.644187,485165195.409790
380,74.518033,485165195.409790
400,78.010476,485165195.409790
420,81.131599,485165195.409790
440,83.947128,485165195.409790
460,86.545090,485165195.409790
480,88.921041,485165195.409790
500,91.085084,485165195.409790
520,93.083681,485165195.409790
540,94.971669,485165195.409790
560,96.654619,485165195.409790
580,98.285832,485165195.409790
600,99.752656,485165195.409790
620,101.238784,485165195.409790
640,102.609370,485165195.409790
660,103.926740,485165195.409790
680,105.180251,485165195.409790
700,106.366197,485165195.409790
720,107.497626,485165195.409790
740,108.577220,485165195.409790
760,109.642116,485165195.409790
780,110.599881,485165195.409790
800,111.518920,485165195.409790
820,112.425009,485165195.409790
840,113.301442,485165195.409790
860,114.137155,485165195.409790
880,114.893407,485165195.409790
900,115.640735,485165195.409790
920,116.342388,485165195.409790
940,117.028507,485165195.409790
960,117.732455,485165195.409790
980,118.368903,485165195.409790
1000,118.990213,485165195.409790
1020,119.574861,485165195.409790
1040,120.154430,485165195.409790
1060,120.701740,485165195.409790
1080,121.214050,485165195.409790
1100,121.737022,485165195.409790
1120,122.205252,485165195.409790
1140,122.702028,485165195.409790
1160,123.165635,485165195.409790
1180,123.610268,485165195.409790
1200,124.038323,485165195.409790
