lr,lora_r,lora_alpha,weight_decay,max_steps,eval_every,sft_preset,sft_val_ratio,lora_type,best_eval_perplexity,best_eval_loss,best_iteration,last_eval_perplexity,last_eval_loss,last_iteration,metrics_dir,status
0.002,64,16.0,0.01,500,100,alpaca_train_1k,0.2,default,3.891042,1.358677,100,2032.024421,7.616788,500,deepseek_autogrid/results/lr_2p0000e-03_r64_a16_st500_wd_1p0000e-02,ok
0.002,64,16.0,0.0,500,100,alpaca_train_1k,0.2,default,3.89216,1.358964,100,10.974795,2.395601,500,deepseek_autogrid/results/lr_2p0000e-03_r64_a16_st500_wd_0p0000e00,ok
0.0002,32,64.0,0.01,500,100,alpaca_train_1k,0.2,default,3.908873,1.363249,300,6.755104,1.910298,500,deepseek_autogrid/results/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-02,ok
0.002,8,8.0,0.0,1500,100,alpaca_train_1k,0.2,default,3.926289,1.367695,200,2283.107443,7.733293,1500,deepseek_autogrid/results/lr_2p0000e-03_r8_a8_st1500_wd_0p0000e00,ok
0.0002,64,64.0,0.0,500,100,alpaca_train_1k,0.2,default,3.927913,1.368108,200,25.882075,3.253551,500,deepseek_autogrid/results/lr_2p0000e-04_r64_a64_st500_wd_0p0000e00,ok
0.0002,32,64.0,0.0,500,100,alpaca_train_1k,0.2,default,3.929438,1.368496,200,15.945833,2.769198,500,deepseek_autogrid/results/lr_2p0000e-04_r32_a64_st500_wd_0p0000e00,ok
0.0002,64,64.0,0.01,500,100,alpaca_train_1k,0.2,default,3.930744,1.368829,200,5.447473,1.695152,500,deepseek_autogrid/results/lr_2p0000e-04_r64_a64_st500_wd_1p0000e-02,ok
0.0002,16,64.0,0.0,500,100,alpaca_train_1k,0.2,default,3.932458,1.369265,300,3.958213,1.375793,500,deepseek_autogrid/results/lr_2p0000e-04_r16_a64_st500_wd_0p0000e00,ok
0.002,64,32.0,0.0,500,100,alpaca_train_1k,0.2,default,3.939771,1.371123,100,6813.010634,8.826589,500,deepseek_autogrid/results/lr_2p0000e-03_r64_a32_st500_wd_0p0000e00,ok
0.0002,16,64.0,0.01,500,100,alpaca_train_1k,0.2,default,3.939831,1.371138,200,4.011416,1.389144,500,deepseek_autogrid/results/lr_2p0000e-04_r16_a64_st500_wd_1p0000e-02,ok
0.0002,64,32.0,0.01,500,100,alpaca_train_1k,0.2,default,3.947903,1.373185,300,4.225779,1.441204,500,deepseek_autogrid/results/lr_2p0000e-04_r64_a32_st500_wd_1p0000e-02,ok
0.002,32,32.0,0.0,500,100,alpaca_train_1k,0.2,default,3.953972,1.374721,100,54.770489,4.003152,500,deepseek_autogrid/results/lr_2p0000e-03_r32_a32_st500_wd_0p0000e00,ok
0.0002,64,32.0,0.0,500,100,alpaca_train_1k,0.2,default,3.955535,1.375116,300,3.967462,1.378126,500,deepseek_autogrid/results/lr_2p0000e-04_r64_a32_st500_wd_0p0000e00,ok
0.002,64,32.0,0.01,500,100,alpaca_train_1k,0.2,default,3.980719,1.381462,100,663.184839,6.497054,500,deepseek_autogrid/results/lr_2p0000e-03_r64_a32_st500_wd_1p0000e-02,ok
0.002,32,32.0,0.01,500,100,alpaca_train_1k,0.2,default,4.03469,1.394929,100,290312.748616,12.578714,500,deepseek_autogrid/results/lr_2p0000e-03_r32_a32_st500_wd_1p0000e-02,ok
0.002,32,16.0,0.01,500,100,alpaca_train_1k,0.2,default,4.070015,1.403647,300,6.437594,1.862155,500,deepseek_autogrid/results/lr_2p0000e-03_r32_a16_st500_wd_1p0000e-02,ok
