iteration,train_loss,train_perplexity
1,46.443651,485165195.409790
50,29.803568,485165195.409790
100,25.414495,485165195.409790
150,23.840962,485165195.409790
200,23.106386,485165195.409790
250,22.486056,485165195.409790
300,22.172721,485165195.409790
350,21.991461,485165195.409790
400,21.829692,485165195.409790
450,21.695283,485165195.409790
500,21.566312,485165195.409790
550,21.427124,485165195.409790
600,21.343511,485165195.409790
650,21.279160,485165195.409790
700,21.199628,485165195.409790
750,21.127360,485165195.409790
800,21.066846,485165195.409790
850,21.039931,485165195.409790
900,20.995436,485165195.409790
950,20.968358,485165195.409790
1000,20.922305,485165195.409790
1050,20.879435,485165195.409790
1100,20.839069,485165195.409790
1150,20.797258,485165195.409790
1200,20.768711,485165195.409790
1250,20.745135,485165195.409790
1300,20.712765,485165195.409790
1350,20.673402,485165195.409790
1400,20.631124,485165195.409790
1450,20.615503,485165195.409790
1500,20.565702,485165195.409790
1550,20.529310,485165195.409790
1600,20.508334,485165195.409790
1650,20.473546,485165195.409790
1700,20.435677,485165195.409790
1750,20.416698,485165195.409790
1800,20.397710,485165195.409790
1850,20.371596,485165195.409790
1900,20.353130,485165195.409790
1950,20.324374,485165195.409790
2000,20.306374,485165195.409790
2050,20.283136,485165195.409790
2100,20.271760,485165195.409790
2150,20.258814,485165195.409790
2200,20.242495,485165195.409790
2250,20.222689,485165195.409790
2300,20.214370,485165195.409790
2350,20.197823,485165195.409790
2400,20.186132,485165195.409790
2450,20.164674,485165195.409790
2500,20.140137,485165195.409790
2550,20.120506,485165195.409790
2600,20.116808,485165195.409790
