lr,lora_r,lora_alpha,weight_decay,max_steps,eval_every,sft_preset,sft_val_ratio,lora_type,best_eval_perplexity,best_eval_loss,best_iteration,last_eval_perplexity,last_eval_loss,last_iteration,metrics_dir,status
0.002,64,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.307209,1.46029,300,4.766787,1.561672,500,deepseek_autogrid/results_mlora/lr_2p0000e-03_r64_a64_st500_wd_1p0000e-02,ok
0.002,64,64.0,0.0,500,100,alpaca_train_1k,0.2,mlora,4.446812,1.492187,500,4.446812,1.492187,500,deepseek_autogrid/results_mlora/lr_2p0000e-03_r64_a64_st500_wd_0p0000e00,ok
0.002,16,16.0,0.0,500,100,alpaca_train_1k,0.2,mlora,4.688399,1.545091,100,10.508068,2.352143,500,deepseek_autogrid/results_mlora/lr_2p0000e-03_r16_a16_st500_wd_0p0000e00,ok
0.002,16,16.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.689148,1.545251,100,9.035834,2.201198,500,deepseek_autogrid/results_mlora/lr_2p0000e-03_r16_a16_st500_wd_1p0000e-02,ok
0.002,64,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.700172,1.547599,100,10.328853,2.334941,500,deepseek_autogrid/results_mlora/lr_2p0000e-03_r64_a32_st500_wd_1p0000e-02,ok
0.002,32,16.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.701461,1.547873,100,7.375438,1.998155,500,deepseek_autogrid/results_mlora/lr_2p0000e-03_r32_a16_st500_wd_1p0000e-02,ok
0.002,32,16.0,0.0,500,100,alpaca_train_1k,0.2,mlora,4.701625,1.547908,100,8.147321,2.097689,500,deepseek_autogrid/results_mlora/lr_2p0000e-03_r32_a16_st500_wd_0p0000e00,ok
0.002,64,16.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.706855,1.54902,100,6.908397,1.932738,500,deepseek_autogrid/results_mlora/lr_2p0000e-03_r64_a16_st500_wd_1p0000e-02,ok
0.002,64,16.0,0.0,500,100,alpaca_train_1k,0.2,mlora,4.706967,1.549044,100,13.662141,2.614629,500,deepseek_autogrid/results_mlora/lr_2p0000e-03_r64_a16_st500_wd_0p0000e00,ok
0.002,16,32.0,0.0,500,100,alpaca_train_1k,0.2,mlora,4.717006,1.551174,100,7.109146,1.961382,500,deepseek_autogrid/results_mlora/lr_2p0000e-03_r16_a32_st500_wd_0p0000e00,ok
