lr,lora_r,lora_alpha,weight_decay,max_steps,eval_every,sft_preset,sft_val_ratio,lora_type,best_eval_perplexity,best_eval_loss,best_iteration,last_eval_perplexity,last_eval_loss,last_iteration,post_peak_last_over_best,post_peak_tail_mean_over_best,metrics_dir,status
0.002,64,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.172635,1.428548,500,4.172635,1.428548,500,1.0,1.0,deepseek_autogrid/results_mlora_correlation_refine/lr_2p0000e-03_r64_a64_st500_wd_1p0000e-02,ok
0.002,64,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.489287,1.501694,500,4.489287,1.501694,500,1.0,1.0,deepseek_autogrid/results_mlora_correlation_refine/lr_2p0000e-03_r64_a32_st500_wd_1p0000e-02,ok
0.0013158664,64,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.642429,1.535238,100,5.638293,1.729581,500,1.2145135660663846,1.3517510445501697,deepseek_autogrid/results_mlora_correlation_refine/lr_1p3159e-03_r64_a64_st500_wd_1p0000e-02,ok
0.0016222617,16,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.651102,1.537104,100,5.272106,1.66243,500,1.1335176050750984,1.3004552469500779,deepseek_autogrid/results_mlora_correlation_refine/lr_1p6223e-03_r16_a64_st500_wd_1p0000e-02,ok
0.0013158664,16,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.659266,1.538858,100,5.81912,1.761149,500,1.2489349180750788,1.4797179426974123,deepseek_autogrid/results_mlora_correlation_refine/lr_1p3159e-03_r16_a64_st500_wd_1p0000e-02,ok
0.002,16,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.673626,1.541935,100,11.109883,2.407835,500,2.3771442130799514,1.8982610551683472,deepseek_autogrid/results_mlora_correlation_refine/lr_2p0000e-03_r16_a64_st500_wd_1p0000e-02,ok
0.0016222617,64,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.699898,1.547541,100,20.233349,3.007332,500,4.305061301330369,3.3556965491591524,deepseek_autogrid/results_mlora_correlation_refine/lr_1p6223e-03_r64_a64_st500_wd_1p0000e-02,ok
0.0016222617,16,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.704665,1.548555,100,6.509292,1.873231,500,1.3835824654890412,1.3053971135269165,deepseek_autogrid/results_mlora_correlation_refine/lr_1p6223e-03_r16_a32_st500_wd_1p0000e-02,ok
0.0005696072,16,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.707433,1.549143,200,5.282798,1.664456,500,1.1222247879045755,1.0769531929610043,deepseek_autogrid/results_mlora_correlation_refine/lr_5p6961e-04_r16_a64_st500_wd_1p0000e-02,ok
0.0010673398,16,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.709449,1.549571,100,6.697474,1.90173,500,1.422135370825759,1.4940310426973515,deepseek_autogrid/results_mlora_correlation_refine/lr_1p0673e-03_r16_a64_st500_wd_1p0000e-02,ok
0.0013158664,16,32.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.711626,1.550033,100,13.329162,2.589954,500,2.828994067016355,2.800903021589574,deepseek_autogrid/results_mlora_correlation_refine/lr_1p3159e-03_r16_a32_st500_wd_1p0000e-02,ok
0.0010673398,64,64.0,0.01,500,100,alpaca_train_1k,0.2,mlora,4.715921,1.550944,100,5.720182,1.744001,500,1.2129511923545795,1.285179130439208,deepseek_autogrid/results_mlora_correlation_refine/lr_1p0673e-03_r64_a64_st500_wd_1p0000e-02,ok
