iteration,train_loss,train_perplexity
1,46.443651,485165195.409790
50,38.385352,485165195.409790
100,31.270402,485165195.409790
150,28.309252,485165195.409790
200,26.484145,485165195.409790
250,25.165450,485165195.409790
300,24.368869,485165195.409790
350,23.832606,485165195.409790
400,23.394563,485165195.409790
450,23.047155,485165195.409790
500,22.742029,485165195.409790
550,22.452452,485165195.409790
600,22.244749,485165195.409790
650,22.072448,485165195.409790
700,21.896771,485165195.409790
750,21.744343,485165195.409790
800,21.616710,485165195.409790
850,21.529901,485165195.409790
900,21.432347,485165195.409790
950,21.356578,485165195.409790
1000,21.266601,485165195.409790
1050,21.186128,485165195.409790
1100,21.113544,485165195.409790
1150,21.041556,485165195.409790
1200,20.985608,485165195.409790
1250,20.937917,485165195.409790
1300,20.883204,485165195.409790
1350,20.823882,485165195.409790
1400,20.763951,485165195.409790
1450,20.733527,485165195.409790
1500,20.671723,485165195.409790
1550,20.623919,485165195.409790
1600,20.592712,485165195.409790
1650,20.549434,485165195.409790
1700,20.503668,485165195.409790
1750,20.476839,485165195.409790
1800,20.450809,485165195.409790
1850,20.418763,485165195.409790
1900,20.396014,485165195.409790
1950,20.362989,485165195.409790
2000,20.341185,485165195.409790
2050,20.315180,485165195.409790
2100,20.300906,485165195.409790
2150,20.286459,485165195.409790
2200,20.268263,485165195.409790
2250,20.247488,485165195.409790
2300,20.237885,485165195.409790
2350,20.221127,485165195.409790
2400,20.208950,485165195.409790
2450,20.187920,485165195.409790
2500,20.163793,485165195.409790
2550,20.144680,485165195.409790
2600,20.140914,485165195.409790
