lr,lora_r,lora_alpha,weight_decay,max_steps,eval_every,sft_preset,sft_val_ratio,lora_type,best_eval_perplexity,best_eval_loss,best_iteration,last_eval_perplexity,last_eval_loss,last_iteration,post_peak_last_over_best,post_peak_tail_mean_over_best,metrics_dir,status
0.0003,16,64.0,0.01,500,100,alpaca_train_1k,0.2,default,3.899466,1.36084,300,5.046894,1.618773,500,1.2942525976633723,1.1892925851898697,deepseek_bbh_autogrid/results/lr_3p0000e-04_r16_a64_st500_wd_1p0000e-02,ok
0.0003,32,32.0,0.0,500,100,alpaca_train_1k,0.2,default,3.909814,1.36349,200,4.067365,1.402995,500,1.0402962903094621,1.027620324990737,deepseek_bbh_autogrid/results/lr_3p0000e-04_r32_a32_st500_wd_0p0000e00,ok
0.0003,32,32.0,0.01,500,100,alpaca_train_1k,0.2,default,3.912979,1.364299,200,4.058595,1.400837,500,1.0372135909750604,1.0254019593085812,deepseek_bbh_autogrid/results/lr_3p0000e-04_r32_a32_st500_wd_1p0000e-02,ok
0.0003,64,32.0,0.01,500,100,alpaca_train_1k,0.2,default,3.960562,1.376386,400,3.964726,1.377437,500,1.0010513659425102,1.0010513659425102,deepseek_bbh_autogrid/results/lr_3p0000e-04_r64_a32_st500_wd_1p0000e-02,ok
0.0003,16,32.0,0.01,500,100,alpaca_train_1k,0.2,default,3.964639,1.377415,200,890.504251,6.791788,500,224.61168620900918,123.80987087769319,deepseek_bbh_autogrid/results/lr_3p0000e-04_r16_a32_st500_wd_1p0000e-02,ok
0.0003,64,16.0,0.01,500,100,alpaca_train_1k,0.2,default,3.9706,1.378917,400,3.986373,1.382882,500,1.0039724474890444,1.0039724474890444,deepseek_bbh_autogrid/results/lr_3p0000e-04_r64_a16_st500_wd_1p0000e-02,ok
0.0003,16,32.0,0.0,500,100,alpaca_train_1k,0.2,default,3.979283,1.381102,200,960.525678,6.867481,500,241.3815951265592,299.27973640812513,deepseek_bbh_autogrid/results/lr_3p0000e-04_r16_a32_st500_wd_0p0000e00,ok
0.0003,32,64.0,0.01,500,100,alpaca_train_1k,0.2,default,3.990907,1.384018,500,3.990907,1.384018,500,1.0,1.0,deepseek_bbh_autogrid/results/lr_3p0000e-04_r32_a64_st500_wd_1p0000e-02,ok
0.0003,64,16.0,0.0,500,100,alpaca_train_1k,0.2,default,4.012273,1.389358,200,4.018911,1.391011,500,1.0016544238141323,1.0033923414483512,deepseek_bbh_autogrid/results/lr_3p0000e-04_r64_a16_st500_wd_0p0000e00,ok
0.0003,64,32.0,0.0,500,100,alpaca_train_1k,0.2,default,4.016392,1.390384,400,4.053518,1.399585,500,1.009243619646688,1.009243619646688,deepseek_bbh_autogrid/results/lr_3p0000e-04_r64_a32_st500_wd_0p0000e00,ok
