iteration,train_loss,train_accuracy
50,0.6956,0.4850
100,0.6946,0.4959
150,0.6944,0.4988
200,0.6947,0.4953
250,0.6948,0.4934
300,0.6948,0.4935
350,0.6949,0.4917
400,0.6947,0.4931
450,0.6947,0.4938
500,0.6944,0.4973
550,0.6945,0.4957
600,0.6945,0.4947
650,0.6944,0.4970
700,0.6943,0.4982
750,0.6942,0.4994
800,0.6942,0.4997
850,0.6940,0.5028
900,0.6938,0.5051
950,0.6936,0.5073
1000,0.6934,0.5089
1050,0.6933,0.5099
1100,0.6931,0.5113
1150,0.6928,0.5142
1200,0.6926,0.5163
1250,0.6922,0.5189
1300,0.6918,0.5215
1350,0.6914,0.5240
1400,0.6909,0.5262
1450,0.6902,0.5287
1500,0.6895,0.5303
1550,0.6884,0.5323
1600,0.6872,0.5332
1650,0.6856,0.5346
1700,0.6834,0.5366
1750,0.6807,0.5393
1800,0.6774,0.5443
1850,0.6733,0.5509
1900,0.6686,0.5584
1950,0.6637,0.5653
2000,0.6582,0.5723
2050,0.6529,0.5786
2100,0.6474,0.5849
2150,0.4008,0.8417
2200,0.4003,0.8454
2250,0.4018,0.8442
2300,0.3983,0.8458
2350,0.3943,0.8463
2400,0.3902,0.8478
2450,0.3897,0.8455
2500,0.3885,0.8449
2550,0.3853,0.8464
2600,0.3833,0.8476
2650,0.3806,0.8483
2700,0.3776,0.8498
2750,0.3743,0.8515
2800,0.3729,0.8517
2850,0.3721,0.8513
2900,0.3707,0.8518
2950,0.3704,0.8518
3000,0.3699,0.8516
3050,0.3681,0.8518
3100,0.3666,0.8523
3150,0.3642,0.8533
3200,0.3631,0.8537
3250,0.3623,0.8540
3300,0.3616,0.8540
3350,0.3610,0.8541
3400,0.3590,0.8550
3450,0.3580,0.8555
3500,0.3570,0.8558
3550,0.3560,0.8559
3600,0.3556,0.8559
3650,0.3548,0.8562
3700,0.3538,0.8566
3750,0.3532,0.8567
3800,0.3520,0.8571
3850,0.3504,0.8577
3900,0.3490,0.8582
3950,0.3487,0.8580
4000,0.3476,0.8586
4050,0.3465,0.8592
4100,0.3459,0.8594
4150,0.3449,0.8597
4200,0.3441,0.8601
4250,0.2931,0.8839
4300,0.3120,0.8689
4350,0.3184,0.8640
4400,0.3186,0.8644
4450,0.3169,0.8654
4500,0.3139,0.8662
4550,0.3135,0.8665
4600,0.3128,0.8682
4650,0.3118,0.8681
4700,0.3092,0.8695
4750,0.3074,0.8711
4800,0.3079,0.8705
4850,0.3071,0.8712
4900,0.3047,0.8724
4950,0.3045,0.8728
5000,0.3051,0.8725
5050,0.3056,0.8721
5100,0.3065,0.8719
5150,0.3055,0.8727
5200,0.3059,0.8727
5250,0.3051,0.8733
5300,0.3048,0.8735
5350,0.3035,0.8743
5400,0.3036,0.8741
5450,0.3031,0.8743
5500,0.3016,0.8752
5550,0.3017,0.8752
5600,0.3005,0.8758
5650,0.3011,0.8757
5700,0.3013,0.8755
5750,0.3011,0.8759
5800,0.3006,0.8763
5850,0.3000,0.8767
5900,0.2996,0.8770
5950,0.2992,0.8773
6000,0.2991,0.8774
6050,0.2987,0.8776
6100,0.2985,0.8778
6150,0.2981,0.8779
6200,0.2982,0.8778
6250,0.2977,0.8780
6300,0.2971,0.8782
6350,0.3144,0.8709
6400,0.3005,0.8746
6450,0.2961,0.8748
6500,0.2940,0.8787
6550,0.2960,0.8767
6600,0.2925,0.8783
6650,0.2881,0.8805
6700,0.2861,0.8826
6750,0.2875,0.8817
6800,0.2851,0.8826
6850,0.2838,0.8835
6900,0.2822,0.8844
6950,0.2811,0.8847
7000,0.2807,0.8854
