iteration,train_loss,train_accuracy
50,0.6957,0.4850
100,0.6961,0.4791
150,0.6961,0.4825
200,0.6961,0.4834
250,0.6958,0.4851
300,0.6960,0.4831
350,0.6959,0.4837
400,0.6956,0.4859
450,0.6956,0.4860
500,0.6955,0.4868
550,0.6957,0.4865
600,0.6956,0.4865
650,0.6956,0.4860
700,0.6957,0.4863
750,0.6957,0.4863
800,0.6956,0.4873
850,0.6955,0.4873
900,0.6955,0.4873
950,0.6956,0.4863
1000,0.6956,0.4861
1050,0.6955,0.4868
1100,0.6954,0.4874
1150,0.6954,0.4879
1200,0.6954,0.4880
1250,0.6954,0.4883
1300,0.6952,0.4898
1350,0.6951,0.4909
1400,0.6950,0.4919
1450,0.6950,0.4924
1500,0.6947,0.4944
1550,0.6946,0.4958
1600,0.6946,0.4963
1650,0.6944,0.4970
1700,0.6944,0.4973
1750,0.6942,0.4991
1800,0.6940,0.5006
1850,0.6939,0.5017
1900,0.6937,0.5027
1950,0.6936,0.5039
2000,0.6933,0.5056
2050,0.6931,0.5068
2100,0.6929,0.5079
2150,0.6778,0.5897
2200,0.6785,0.5807
2250,0.6782,0.5779
2300,0.6765,0.5794
2350,0.6752,0.5776
2400,0.6729,0.5796
2450,0.6712,0.5788
2500,0.6697,0.5767
2550,0.6679,0.5760
2600,0.6650,0.5785
2650,0.6623,0.5797
2700,0.6587,0.5832
2750,0.6544,0.5893
2800,0.6497,0.5969
2850,0.6446,0.6059
2900,0.6382,0.6175
2950,0.6311,0.6291
3000,0.6230,0.6407
3050,0.6149,0.6512
3100,0.6067,0.6609
3150,0.5992,0.6686
3200,0.5912,0.6763
3250,0.5834,0.6836
3300,0.5755,0.6905
3350,0.5679,0.6967
3400,0.5608,0.7026
3450,0.5541,0.7080
3500,0.5475,0.7132
3550,0.5410,0.7179
3600,0.5346,0.7228
3650,0.5291,0.7271
3700,0.5233,0.7315
3750,0.5190,0.7347
3800,0.5140,0.7381
3850,0.5097,0.7411
3900,0.5058,0.7441
3950,0.5011,0.7475
4000,0.4970,0.7504
4050,0.4926,0.7538
4100,0.4888,0.7562
4150,0.4851,0.7588
4200,0.4819,0.7612
4250,0.3361,0.8624
4300,0.3325,0.8635
4350,0.3337,0.8622
4400,0.3347,0.8628
4450,0.3316,0.8661
4500,0.3325,0.8649
4550,0.3320,0.8648
4600,0.3315,0.8638
4650,0.3302,0.8640
4700,0.3294,0.8638
4750,0.3308,0.8634
4800,0.3314,0.8630
4850,0.3298,0.8641
4900,0.3285,0.8643
4950,0.3286,0.8643
5000,0.3293,0.8639
5050,0.3280,0.8645
5100,0.3274,0.8645
5150,0.3263,0.8648
5200,0.3250,0.8657
5250,0.3246,0.8656
5300,0.3239,0.8660
5350,0.3229,0.8665
5400,0.3222,0.8671
5450,0.3220,0.8670
5500,0.3210,0.8675
5550,0.3207,0.8678
5600,0.3202,0.8681
5650,0.3195,0.8683
5700,0.3184,0.8687
5750,0.3180,0.8689
5800,0.3177,0.8689
5850,0.3176,0.8689
5900,0.3169,0.8692
5950,0.3159,0.8699
6000,0.3162,0.8698
6050,0.3159,0.8700
6100,0.3153,0.8703
6150,0.3153,0.8702
6200,0.3146,0.8705
6250,0.3138,0.8709
6300,0.3139,0.8707
6350,0.3039,0.8701
6400,0.3044,0.8697
6450,0.2977,0.8750
6500,0.2940,0.8787
6550,0.2932,0.8797
6600,0.2937,0.8810
6650,0.2940,0.8802
6700,0.2920,0.8811
6750,0.2949,0.8791
6800,0.2937,0.8801
6850,0.2944,0.8796
6900,0.2939,0.8803
6950,0.2947,0.8796
7000,0.2930,0.8803
7050,0.2931,0.8801
7100,0.2947,0.8793
7150,0.2950,0.8788
7200,0.2945,0.8789
7250,0.2944,0.8789
7300,0.2943,0.8789
7350,0.2938,0.8787
7400,0.2936,0.8793
7450,0.2947,0.8790
7500,0.2934,0.8797
7550,0.2928,0.8800
7600,0.2926,0.8801
7650,0.2921,0.8804
7700,0.2910,0.8811
7750,0.2910,0.8811
7800,0.2906,0.8812
7850,0.2904,0.8810
7900,0.2896,0.8815
7950,0.2890,0.8817
8000,0.2881,0.8823
8050,0.2875,0.8826
8100,0.2869,0.8830
8150,0.2870,0.8826
8200,0.2866,0.8828
8250,0.2869,0.8826
8300,0.2862,0.8827
8350,0.2857,0.8830
8400,0.2855,0.8833
8450,0.2727,0.8915
8500,0.2790,0.8828
8550,0.2850,0.8825
8600,0.2778,0.8865
8650,0.2733,0.8893
8700,0.2682,0.8911
8750,0.2718,0.8897
8800,0.2718,0.8908
8850,0.2719,0.8908
8900,0.2720,0.8904
8950,0.2732,0.8894
9000,0.2711,0.8904
9050,0.2717,0.8907
9100,0.2717,0.8902
9150,0.2713,0.8899
9200,0.2708,0.8898
9250,0.2721,0.8893
9300,0.2718,0.8895
9350,0.2717,0.8896
9400,0.2714,0.8897
9450,0.2705,0.8900
9500,0.2704,0.8899
9550,0.2693,0.8905
9600,0.2689,0.8907
9650,0.2689,0.8909
9700,0.2687,0.8908
9750,0.2682,0.8912
9800,0.2670,0.8919
9850,0.2667,0.8920
9900,0.2669,0.8917
9950,0.2679,0.8913
10000,0.2674,0.8919
10050,0.2669,0.8924
10100,0.2667,0.8923
10150,0.2666,0.8923
10200,0.2674,0.8918
10250,0.2674,0.8917
10300,0.2675,0.8916
10350,0.2670,0.8920
10400,0.2664,0.8922
10450,0.2661,0.8922
10500,0.2662,0.8921
10550,0.2727,0.8865
10600,0.2838,0.8809
10650,0.2789,0.8849
10700,0.2757,0.8866
10750,0.2717,0.8887
10800,0.2703,0.8893
10850,0.2681,0.8911
10900,0.2648,0.8928
10950,0.2623,0.8943
11000,0.2612,0.8950
11050,0.2597,0.8953
11100,0.2613,0.8949
11150,0.2593,0.8957
11200,0.2579,0.8960
11250,0.2584,0.8955
11300,0.2569,0.8965
11350,0.2566,0.8965
11400,0.2558,0.8968
11450,0.2557,0.8971
11500,0.2553,0.8975
11550,0.2548,0.8977
11600,0.2550,0.8976
11650,0.2564,0.8969
11700,0.2561,0.8972
11750,0.2564,0.8970
11800,0.2562,0.8973
11850,0.2556,0.8972
11900,0.2549,0.8975
11950,0.2553,0.8972
12000,0.2554,0.8973
12050,0.2547,0.8975
12100,0.2550,0.8976
12150,0.2548,0.8979
12200,0.2549,0.8979
12250,0.2549,0.8978
12300,0.2550,0.8978
12350,0.2546,0.8978
12400,0.2546,0.8978
12450,0.2542,0.8980
12500,0.2545,0.8979
12550,0.2537,0.8985
12600,0.2533,0.8985
12650,0.2263,0.9171
12700,0.2225,0.9161
12750,0.2332,0.9092
12800,0.2360,0.9087
12850,0.2385,0.9072
12900,0.2381,0.9058
12950,0.2397,0.9056
13000,0.2394,0.9057
13050,0.2378,0.9056
13100,0.2399,0.9047
13150,0.2419,0.9038
13200,0.2399,0.9045
13250,0.2417,0.9043
13300,0.2418,0.9043
13350,0.2426,0.9041
13400,0.2422,0.9045
13450,0.2428,0.9041
13500,0.2440,0.9036
13550,0.2435,0.9040
13600,0.2430,0.9043
13650,0.2427,0.9043
13700,0.2421,0.9047
13750,0.2416,0.9049
13800,0.2420,0.9046
13850,0.2410,0.9051
13900,0.2417,0.9049
