run_name,lr,lora_r,lora_alpha,weight_decay,epochs_required,test_rows_found,reason,metrics_dir
lr_3p0000e-06_r16_a32_ep3_wd_0p0000e00,3e-06,16,32,0.0,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r16_a32_ep3_wd_0p0000e00
lr_3p0000e-06_r16_a32_ep3_wd_1p0000e-02,3e-06,16,32,0.01,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r16_a32_ep3_wd_1p0000e-02
lr_3p0000e-06_r16_a32_ep3_wd_1p0000e-01,3e-06,16,32,0.1,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r16_a32_ep3_wd_1p0000e-01
lr_3p0000e-06_r16_a64_ep3_wd_0p0000e00,3e-06,16,64,0.0,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r16_a64_ep3_wd_0p0000e00
lr_3p0000e-06_r16_a64_ep3_wd_1p0000e-02,3e-06,16,64,0.01,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r16_a64_ep3_wd_1p0000e-02
lr_3p0000e-06_r16_a64_ep3_wd_1p0000e-01,3e-06,16,64,0.1,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r16_a64_ep3_wd_1p0000e-01
lr_3p0000e-06_r16_a128_ep3_wd_0p0000e00,3e-06,16,128,0.0,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r16_a128_ep3_wd_0p0000e00
lr_3p0000e-06_r16_a128_ep3_wd_1p0000e-02,3e-06,16,128,0.01,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r16_a128_ep3_wd_1p0000e-02
lr_3p0000e-06_r16_a128_ep3_wd_1p0000e-01,3e-06,16,128,0.1,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r16_a128_ep3_wd_1p0000e-01
lr_3p0000e-06_r32_a8_ep3_wd_0p0000e00,3e-06,32,8,0.0,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r32_a8_ep3_wd_0p0000e00
lr_3p0000e-06_r32_a8_ep3_wd_1p0000e-02,3e-06,32,8,0.01,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r32_a8_ep3_wd_1p0000e-02
lr_3p0000e-06_r32_a8_ep3_wd_1p0000e-01,3e-06,32,8,0.1,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r32_a8_ep3_wd_1p0000e-01
lr_3p0000e-06_r32_a16_ep3_wd_0p0000e00,3e-06,32,16,0.0,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r32_a16_ep3_wd_0p0000e00
lr_3p0000e-06_r32_a16_ep3_wd_1p0000e-02,3e-06,32,16,0.01,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r32_a16_ep3_wd_1p0000e-02
lr_3p0000e-06_r32_a16_ep3_wd_1p0000e-01,3e-06,32,16,0.1,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r32_a16_ep3_wd_1p0000e-01
lr_3p0000e-06_r32_a32_ep3_wd_0p0000e00,3e-06,32,32,0.0,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r32_a32_ep3_wd_0p0000e00
lr_3p0000e-06_r32_a32_ep3_wd_1p0000e-02,3e-06,32,32,0.01,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r32_a32_ep3_wd_1p0000e-02
lr_3p0000e-06_r32_a32_ep3_wd_1p0000e-01,3e-06,32,32,0.1,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r32_a32_ep3_wd_1p0000e-01
lr_3p0000e-06_r32_a64_ep3_wd_0p0000e00,3e-06,32,64,0.0,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r32_a64_ep3_wd_0p0000e00
lr_3p0000e-06_r32_a64_ep3_wd_1p0000e-02,3e-06,32,64,0.01,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r32_a64_ep3_wd_1p0000e-02
lr_3p0000e-06_r32_a64_ep3_wd_1p0000e-01,3e-06,32,64,0.1,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r32_a64_ep3_wd_1p0000e-01
lr_3p0000e-06_r32_a128_ep3_wd_0p0000e00,3e-06,32,128,0.0,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r32_a128_ep3_wd_0p0000e00
lr_3p0000e-06_r32_a128_ep3_wd_1p0000e-02,3e-06,32,128,0.01,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r32_a128_ep3_wd_1p0000e-02
lr_3p0000e-06_r32_a128_ep3_wd_1p0000e-01,3e-06,32,128,0.1,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r32_a128_ep3_wd_1p0000e-01
lr_3p0000e-06_r64_a8_ep3_wd_0p0000e00,3e-06,64,8,0.0,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r64_a8_ep3_wd_0p0000e00
lr_3p0000e-06_r64_a8_ep3_wd_1p0000e-02,3e-06,64,8,0.01,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r64_a8_ep3_wd_1p0000e-02
lr_3p0000e-06_r64_a8_ep3_wd_1p0000e-01,3e-06,64,8,0.1,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r64_a8_ep3_wd_1p0000e-01
lr_3p0000e-06_r64_a16_ep3_wd_0p0000e00,3e-06,64,16,0.0,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r64_a16_ep3_wd_0p0000e00
lr_3p0000e-06_r64_a16_ep3_wd_1p0000e-02,3e-06,64,16,0.01,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r64_a16_ep3_wd_1p0000e-02
lr_3p0000e-06_r64_a16_ep3_wd_1p0000e-01,3e-06,64,16,0.1,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r64_a16_ep3_wd_1p0000e-01
lr_3p0000e-06_r64_a32_ep3_wd_0p0000e00,3e-06,64,32,0.0,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r64_a32_ep3_wd_0p0000e00
lr_3p0000e-06_r64_a32_ep3_wd_1p0000e-02,3e-06,64,32,0.01,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r64_a32_ep3_wd_1p0000e-02
lr_3p0000e-06_r64_a32_ep3_wd_1p0000e-01,3e-06,64,32,0.1,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r64_a32_ep3_wd_1p0000e-01
lr_3p0000e-06_r64_a64_ep3_wd_0p0000e00,3e-06,64,64,0.0,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r64_a64_ep3_wd_0p0000e00
lr_3p0000e-06_r64_a64_ep3_wd_1p0000e-02,3e-06,64,64,0.01,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r64_a64_ep3_wd_1p0000e-02
lr_3p0000e-06_r64_a64_ep3_wd_1p0000e-01,3e-06,64,64,0.1,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r64_a64_ep3_wd_1p0000e-01
lr_3p0000e-06_r64_a128_ep3_wd_0p0000e00,3e-06,64,128,0.0,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r64_a128_ep3_wd_0p0000e00
lr_3p0000e-06_r64_a128_ep3_wd_1p0000e-02,3e-06,64,128,0.01,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r64_a128_ep3_wd_1p0000e-02
lr_3p0000e-06_r64_a128_ep3_wd_1p0000e-01,3e-06,64,128,0.1,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r64_a128_ep3_wd_1p0000e-01
lr_3p0000e-06_r128_a8_ep3_wd_0p0000e00,3e-06,128,8,0.0,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r128_a8_ep3_wd_0p0000e00
lr_3p0000e-06_r128_a8_ep3_wd_1p0000e-02,3e-06,128,8,0.01,3,0,missing_dir,distilbert_autogrid/results/lr_3p0000e-06_r128_a8_ep3_wd_1p0000e-02
