lr,lora_r,lora_alpha,epochs,weight_decay,adam_beta1,adam_beta2,best_val_acc,best_val_loss,best_iteration,last_val_acc,last_val_loss,last_iteration,metrics_dir,status
0.003,32,64.0,3,0.01,0.9,0.999,0.9117,0.2769,6312,0.9117,0.2769,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r32_a64_ep3_wd_1p0000e-02,ok
0.003,32,8.0,3,0.01,0.9,0.999,0.9117,0.2592,6312,0.9117,0.2592,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r32_a8_ep3_wd_1p0000e-02,ok
0.003,128,8.0,3,0.0,0.9,0.999,0.9106,0.2706,6312,0.9106,0.2706,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r128_a8_ep3_wd_0p0000e00,ok
0.003,16,16.0,3,0.01,0.9,0.999,0.9106,0.2592,4208,0.9002,0.264,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r16_a16_ep3_wd_1p0000e-02,ok
0.003,64,16.0,3,0.1,0.9,0.999,0.9106,0.2502,4208,0.9071,0.26,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r64_a16_ep3_wd_1p0000e-01,ok
0.003,64,16.0,3,0.01,0.9,0.999,0.9106,0.2617,4208,0.906,0.277,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r64_a16_ep3_wd_1p0000e-02,ok
0.003,8,32.0,3,0.0,0.9,0.999,0.9094,0.2888,6312,0.9094,0.2888,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r8_a32_ep3_wd_0p0000e00,ok
0.0003,16,128.0,3,0.01,0.9,0.999,0.9094,0.2528,6312,0.9094,0.2528,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r16_a128_ep3_wd_1p0000e-02,ok
0.003,64,8.0,3,0.0,0.9,0.999,0.9083,0.2558,4208,0.8991,0.2772,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r64_a8_ep3_wd_0p0000e00,ok
0.003,128,64.0,3,0.0,0.9,0.999,0.9071,0.2853,6312,0.9071,0.2853,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r128_a64_ep3_wd_0p0000e00,ok
0.003,16,64.0,3,0.0,0.9,0.999,0.9071,0.2638,6312,0.9071,0.2638,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r16_a64_ep3_wd_0p0000e00,ok
0.003,32,64.0,3,0.1,0.9,0.999,0.9071,0.2623,6312,0.9071,0.2623,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r32_a64_ep3_wd_1p0000e-01,ok
0.003,8,8.0,3,0.1,0.9,0.999,0.9071,0.2597,6312,0.9071,0.2597,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r8_a8_ep3_wd_1p0000e-01,ok
0.0003,128,128.0,3,0.1,0.9,0.999,0.9071,0.2545,6312,0.9071,0.2545,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r128_a128_ep3_wd_1p0000e-01,ok
0.0003,64,128.0,3,0.0,0.9,0.999,0.9071,0.2515,6312,0.9071,0.2515,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r64_a128_ep3_wd_0p0000e00,ok
0.003,128,16.0,3,0.1,0.9,0.999,0.906,0.2603,4208,0.9002,0.2692,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r128_a16_ep3_wd_1p0000e-01,ok
0.003,16,128.0,3,0.1,0.9,0.999,0.906,0.2708,6312,0.906,0.2708,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r16_a128_ep3_wd_1p0000e-01,ok
0.003,32,64.0,3,0.0,0.9,0.999,0.906,0.2929,4208,0.9002,0.2987,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r32_a64_ep3_wd_0p0000e00,ok
0.003,64,64.0,3,0.1,0.9,0.999,0.906,0.2709,6312,0.906,0.2709,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r64_a64_ep3_wd_1p0000e-01,ok
0.0003,128,128.0,3,0.0,0.9,0.999,0.906,0.2553,4208,0.9025,0.2587,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r128_a128_ep3_wd_0p0000e00,ok
0.003,128,8.0,3,0.1,0.9,0.999,0.9048,0.2504,4208,0.9014,0.2589,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r128_a8_ep3_wd_1p0000e-01,ok
0.003,16,32.0,3,0.1,0.9,0.999,0.9048,0.2557,2104,0.8991,0.2759,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r16_a32_ep3_wd_1p0000e-01,ok
0.003,32,8.0,3,0.0,0.9,0.999,0.9048,0.2483,2104,0.8979,0.2673,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r32_a8_ep3_wd_0p0000e00,ok
0.003,64,32.0,3,0.01,0.9,0.999,0.9048,0.276,6312,0.9048,0.276,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r64_a32_ep3_wd_1p0000e-02,ok
0.003,64,64.0,3,0.01,0.9,0.999,0.9048,0.245,4208,0.8991,0.2669,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r64_a64_ep3_wd_1p0000e-02,ok
0.0003,64,128.0,3,0.01,0.9,0.999,0.9048,0.2544,6312,0.9048,0.2544,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r64_a128_ep3_wd_1p0000e-02,ok
0.003,128,128.0,3,0.1,0.9,0.999,0.9037,0.2761,4208,0.8911,0.2957,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r128_a128_ep3_wd_1p0000e-01,ok
0.003,128,16.0,3,0.01,0.9,0.999,0.9037,0.2712,6312,0.9037,0.2712,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r128_a16_ep3_wd_1p0000e-02,ok
0.003,128,32.0,3,0.1,0.9,0.999,0.9037,0.2563,4208,0.8968,0.2785,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r128_a32_ep3_wd_1p0000e-01,ok
0.003,16,8.0,3,0.01,0.9,0.999,0.9037,0.2536,2104,0.9037,0.2782,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r16_a8_ep3_wd_1p0000e-02,ok
0.003,64,32.0,3,0.0,0.9,0.999,0.9037,0.2679,4208,0.9037,0.282,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r64_a32_ep3_wd_0p0000e00,ok
0.003,64,32.0,3,0.1,0.9,0.999,0.9037,0.2696,6312,0.9037,0.2696,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r64_a32_ep3_wd_1p0000e-01,ok
0.003,8,128.0,3,0.1,0.9,0.999,0.9037,0.2819,6312,0.9037,0.2819,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r8_a128_ep3_wd_1p0000e-01,ok
0.0003,32,128.0,3,0.01,0.9,0.999,0.9037,0.2582,6312,0.9037,0.2582,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r32_a128_ep3_wd_1p0000e-02,ok
