iteration,train_loss,train_accuracy
50,0.6936,0.5081
100,0.6932,0.5116
150,0.6937,0.5102
200,0.6927,0.5180
250,0.6888,0.5279
300,0.6709,0.5535
350,0.6322,0.5951
400,0.5956,0.6290
450,0.5666,0.6549
500,0.5413,0.6769
550,0.5199,0.6949
600,0.5028,0.7095
650,0.4859,0.7227
700,0.4719,0.7338
750,0.4606,0.7432
800,0.4483,0.7526
850,0.4387,0.7606
900,0.4291,0.7676
950,0.4224,0.7732
1000,0.4153,0.7790
1050,0.4082,0.7846
1100,0.4020,0.7892
1150,0.3954,0.7940
1200,0.3888,0.7989
1250,0.3834,0.8031
1300,0.3788,0.8066
1350,0.3740,0.8100
1400,0.3696,0.8133
1450,0.3653,0.8164
1500,0.3612,0.8192
1550,0.3574,0.8219
1600,0.3540,0.8244
1650,0.3499,0.8271
1700,0.3469,0.8293
1750,0.3436,0.8316
1800,0.3403,0.8338
1850,0.3370,0.8359
1900,0.3340,0.8379
1950,0.3311,0.8399
2000,0.3287,0.8416
2050,0.3265,0.8429
2100,0.3248,0.8444
2150,0.2006,0.9226
2200,0.1934,0.9248
2250,0.1947,0.9247
2300,0.1947,0.9251
2350,0.1941,0.9256
2400,0.1928,0.9270
2450,0.1942,0.9259
2500,0.1925,0.9263
2550,0.1925,0.9263
2600,0.1919,0.9267
2650,0.1905,0.9272
2700,0.1899,0.9274
2750,0.1884,0.9285
2800,0.1856,0.9297
2850,0.1843,0.9302
2900,0.1833,0.9308
2950,0.1816,0.9315
3000,0.1813,0.9318
3050,0.1808,0.9316
3100,0.1798,0.9322
3150,0.1805,0.9321
3200,0.1804,0.9321
3250,0.1804,0.9323
3300,0.1793,0.9327
3350,0.1796,0.9325
3400,0.1793,0.9327
3450,0.1803,0.9323
3500,0.1799,0.9325
3550,0.1788,0.9333
3600,0.1790,0.9332
3650,0.1782,0.9335
3700,0.1774,0.9339
3750,0.1774,0.9341
3800,0.1770,0.9342
3850,0.1773,0.9340
3900,0.1764,0.9344
3950,0.1760,0.9347
4000,0.1756,0.9350
4050,0.1750,0.9352
4100,0.1747,0.9353
4150,0.1746,0.9353
4200,0.1743,0.9355
4250,0.1275,0.9554
4300,0.1233,0.9558
4350,0.1266,0.9558
4400,0.1256,0.9567
4450,0.1264,0.9567
4500,0.1292,0.9552
4550,0.1305,0.9548
4600,0.1303,0.9549
4650,0.1284,0.9555
4700,0.1292,0.9552
