iteration,train_loss,train_accuracy
50,0.6947,0.5031
100,0.6936,0.5125
150,0.6929,0.5140
200,0.6922,0.5212
250,0.6903,0.5320
300,0.6816,0.5527
350,0.6460,0.5932
400,0.6105,0.6248
450,0.5821,0.6492
500,0.5549,0.6714
550,0.5318,0.6901
600,0.5142,0.7052
650,0.4959,0.7195
700,0.4817,0.7310
750,0.4695,0.7407
800,0.4580,0.7491
850,0.4473,0.7569
900,0.4370,0.7649
950,0.4284,0.7716
1000,0.4202,0.7775
1050,0.4129,0.7832
1100,0.4062,0.7882
1150,0.4001,0.7926
1200,0.3953,0.7966
1250,0.3894,0.8009
1300,0.3844,0.8045
1350,0.3797,0.8078
1400,0.3753,0.8113
1450,0.3705,0.8150
1500,0.3660,0.8180
1550,0.3613,0.8214
1600,0.3570,0.8243
1650,0.3531,0.8268
1700,0.3496,0.8293
1750,0.3466,0.8313
1800,0.3435,0.8335
1850,0.3406,0.8355
1900,0.3375,0.8375
1950,0.3349,0.8392
2000,0.3319,0.8413
2050,0.3289,0.8432
2100,0.3264,0.8450
2150,0.1965,0.9327
2200,0.1776,0.9391
2250,0.1821,0.9330
2300,0.1784,0.9342
2350,0.1759,0.9352
2400,0.1763,0.9346
2450,0.1794,0.9327
2500,0.1808,0.9322
2550,0.1814,0.9319
2600,0.1805,0.9321
2650,0.1815,0.9319
2700,0.1819,0.9321
2750,0.1820,0.9325
2800,0.1834,0.9310
2850,0.1820,0.9318
2900,0.1818,0.9317
2950,0.1806,0.9326
3000,0.1791,0.9333
3050,0.1789,0.9336
3100,0.1774,0.9342
3150,0.1777,0.9339
3200,0.1771,0.9341
3250,0.1776,0.9336
3300,0.1777,0.9335
3350,0.1781,0.9333
3400,0.1780,0.9336
3450,0.1785,0.9335
3500,0.1786,0.9334
3550,0.1781,0.9337
3600,0.1774,0.9341
3650,0.1772,0.9342
3700,0.1762,0.9346
3750,0.1764,0.9346
3800,0.1762,0.9347
3850,0.1763,0.9347
3900,0.1758,0.9348
3950,0.1760,0.9348
4000,0.1759,0.9350
4050,0.1753,0.9353
4100,0.1756,0.9354
4150,0.1750,0.9355
4200,0.1748,0.9355
4250,0.1290,0.9561
4300,0.1217,0.9572
4350,0.1235,0.9569
4400,0.1267,0.9574
4450,0.1234,0.9585
4500,0.1278,0.9556
4550,0.1259,0.9565
4600,0.1286,0.9557
4650,0.1289,0.9559
4700,0.1274,0.9567
4750,0.1279,0.9560
4800,0.1272,0.9563
4850,0.1288,0.9553
4900,0.1294,0.9555
4950,0.1295,0.9551
5000,0.1284,0.9556
5050,0.1291,0.9555
5100,0.1294,0.9554
5150,0.1290,0.9555
5200,0.1287,0.9554
5250,0.1289,0.9553
5300,0.1296,0.9549
5350,0.1302,0.9546
5400,0.1296,0.9547
5450,0.1293,0.9550
5500,0.1297,0.9550
5550,0.1296,0.9551
5600,0.1296,0.9551
5650,0.1301,0.9549
5700,0.1299,0.9552
5750,0.1298,0.9553
5800,0.1297,0.9553
5850,0.1304,0.9551
5900,0.1303,0.9552
5950,0.1293,0.9556
6000,0.1294,0.9555
6050,0.1297,0.9555
6100,0.1301,0.9554
6150,0.1298,0.9556
6200,0.1294,0.9557
6250,0.1298,0.9555
