lr,lora_r,lora_alpha,epochs,weight_decay,adam_beta1,adam_beta2,best_val_acc,best_val_loss,best_iteration,last_val_acc,last_val_loss,last_iteration,metrics_dir,status
0.0025,64,64.0,8,0.01,0.9,0.999,0.9117,0.3118,12624,0.9048,0.3204,16832,distilbert_autogrid/results_mlora_refine/lr_2p5000e-03_r64_a64_ep8_wd_1p0000e-02,ok
0.003,64,32.0,8,0.0,0.9,0.999,0.9117,0.2935,16832,0.9117,0.2935,16832,distilbert_autogrid/results_mlora_refine/lr_3p0000e-03_r64_a32_ep8_wd_0p0000e00,ok
0.003,32,32.0,8,0.01,0.9,0.999,0.9106,0.2513,6312,0.9094,0.2802,16832,distilbert_autogrid/results_mlora_refine/lr_3p0000e-03_r32_a32_ep8_wd_1p0000e-02,ok
0.0015,32,64.0,8,0.0,0.9,0.999,0.9094,0.27,6312,0.9002,0.3217,16832,distilbert_autogrid/results_mlora_refine/lr_1p5000e-03_r32_a64_ep8_wd_0p0000e00,ok
0.002,64,64.0,8,0.0,0.9,0.999,0.9094,0.3049,14728,0.9037,0.3072,16832,distilbert_autogrid/results_mlora_refine/lr_2p0000e-03_r64_a64_ep8_wd_0p0000e00,ok
0.002,64,64.0,8,0.01,0.9,0.999,0.9094,0.2707,4208,0.9048,0.2997,16832,distilbert_autogrid/results_mlora_refine/lr_2p0000e-03_r64_a64_ep8_wd_1p0000e-02,ok
0.004,32,32.0,8,0.0,0.9,0.999,0.9094,0.2635,6312,0.8979,0.3276,16832,distilbert_autogrid/results_mlora_refine/lr_4p0000e-03_r32_a32_ep8_wd_0p0000e00,ok
0.004,64,32.0,8,0.01,0.9,0.999,0.9094,0.2915,14728,0.9083,0.3076,16832,distilbert_autogrid/results_mlora_refine/lr_4p0000e-03_r64_a32_ep8_wd_1p0000e-02,ok
0.002,32,64.0,8,0.0,0.9,0.999,0.9083,0.2518,2104,0.9025,0.3221,16832,distilbert_autogrid/results_mlora_refine/lr_2p0000e-03_r32_a64_ep8_wd_0p0000e00,ok
0.0025,32,32.0,8,0.01,0.9,0.999,0.9083,0.2952,12624,0.9014,0.3103,16832,distilbert_autogrid/results_mlora_refine/lr_2p5000e-03_r32_a32_ep8_wd_1p0000e-02,ok
