lr,lora_r,lora_alpha,epochs,weight_decay,adam_beta1,adam_beta2,best_val_acc,best_val_loss,best_iteration,last_val_acc,last_val_loss,last_iteration,metrics_dir,status
0.0002,64,32.0,8,0.01,0.9,0.999,0.9106,0.3156,33672,0.9106,0.3156,33672,distilbert_autogrid/results_refine/lr_2p0000e-04_r64_a32_ep8_wd_1p0000e-02,ok
0.0003,32,16.0,8,0.0,0.9,0.999,0.9106,0.3142,29463,0.9071,0.3354,33672,distilbert_autogrid/results_refine/lr_3p0000e-04_r32_a16_ep8_wd_0p0000e00,ok
0.0003,64,32.0,8,0.01,0.9,0.999,0.9106,0.2701,4209,0.8945,0.381,33672,distilbert_autogrid/results_refine/lr_3p0000e-04_r64_a32_ep8_wd_1p0000e-02,ok
0.0003,64,32.0,8,0.0,0.9,0.999,0.9094,0.3522,33672,0.9094,0.3522,33672,distilbert_autogrid/results_refine/lr_3p0000e-04_r64_a32_ep8_wd_0p0000e00,ok
0.00035,32,16.0,8,0.01,0.9,0.999,0.9083,0.3051,16836,0.9002,0.3409,33672,distilbert_autogrid/results_refine/lr_3p5000e-04_r32_a16_ep8_wd_1p0000e-02,ok
0.00035,64,32.0,8,0.01,0.9,0.999,0.9083,0.2922,12627,0.9025,0.3435,33672,distilbert_autogrid/results_refine/lr_3p5000e-04_r64_a32_ep8_wd_1p0000e-02,ok
0.0004,64,32.0,8,0.0,0.9,0.999,0.9083,0.3102,21045,0.8945,0.3585,33672,distilbert_autogrid/results_refine/lr_4p0000e-04_r64_a32_ep8_wd_0p0000e00,ok
0.0003,32,32.0,8,0.01,0.9,0.999,0.9071,0.2583,4209,0.8888,0.3791,33672,distilbert_autogrid/results_refine/lr_3p0000e-04_r32_a32_ep8_wd_1p0000e-02,ok
0.0004,32,32.0,8,0.01,0.9,0.999,0.9071,0.3698,33672,0.9071,0.3698,33672,distilbert_autogrid/results_refine/lr_4p0000e-04_r32_a32_ep8_wd_1p0000e-02,ok
0.0005,32,16.0,8,0.0,0.9,0.999,0.9071,0.3297,33672,0.9071,0.3297,33672,distilbert_autogrid/results_refine/lr_5p0000e-04_r32_a16_ep8_wd_0p0000e00,ok
0.0005,64,16.0,8,0.01,0.9,0.999,0.9071,0.3327,33672,0.9071,0.3327,33672,distilbert_autogrid/results_refine/lr_5p0000e-04_r64_a16_ep8_wd_1p0000e-02,ok
0.00015,32,16.0,8,0.0,0.9,0.999,0.906,0.2912,16836,0.9002,0.3272,33672,distilbert_autogrid/results_refine/lr_1p5000e-04_r32_a16_ep8_wd_0p0000e00,ok
0.00015,32,32.0,8,0.01,0.9,0.999,0.906,0.3254,25254,0.9025,0.3415,33672,distilbert_autogrid/results_refine/lr_1p5000e-04_r32_a32_ep8_wd_1p0000e-02,ok
