lr,lora_r,lora_alpha,weight_decay,max_steps,eval_every,sft_preset,sft_val_ratio,lora_type,best_eval_perplexity,best_eval_loss,best_iteration,last_eval_perplexity,last_eval_loss,last_iteration,metrics_dir,status
2e-05,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.03444,0.03386,200,1.038915,0.038177,500,qwen3_autogrid/results_mmlu/lr_2p0000e-05_r64_a128_st500_wd_0p0000e00,ok
2e-05,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.034472,0.033891,200,1.038491,0.037768,500,qwen3_autogrid/results_mmlu/lr_2p0000e-05_r64_a128_st500_wd_1p0000e-02,ok
2e-05,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.034764,0.034173,200,1.039543,0.038781,500,qwen3_autogrid/results_mmlu/lr_2p0000e-05_r64_a128_st500_wd_1p0000e-03,ok
0.0002,16,32.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.034782,0.034191,200,1.037538,0.03685,500,qwen3_autogrid/results_mmlu/lr_2p0000e-04_r16_a32_st500_wd_0p0000e00,ok
0.0002,16,32.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.034782,0.034191,200,1.037538,0.03685,500,qwen3_autogrid/results_mmlu/lr_2p0000e-04_r16_a32_st500_wd_1p0000e-03,ok
2e-05,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.036047,0.035412,200,1.037446,0.036762,500,qwen3_autogrid/results_mmlu/lr_2p0000e-05_r32_a64_st500_wd_0p0000e00,ok
2e-05,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.036047,0.035412,200,1.037446,0.036762,500,qwen3_autogrid/results_mmlu/lr_2p0000e-05_r32_a64_st500_wd_1p0000e-02,ok
0.0002,16,32.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.03616,0.035521,200,1.041021,0.040202,500,qwen3_autogrid/results_mmlu/lr_2p0000e-04_r16_a32_st500_wd_1p0000e-02,ok
2e-05,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.036181,0.035542,200,1.037696,0.037002,500,qwen3_autogrid/results_mmlu/lr_2p0000e-05_r32_a64_st500_wd_1p0000e-03,ok
0.0002,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.037309,0.03663,200,1.040611,0.039808,500,qwen3_autogrid/results_mmlu/lr_2p0000e-04_r32_a64_st500_wd_0p0000e00,ok
0.0002,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.037309,0.03663,200,1.040611,0.039808,500,qwen3_autogrid/results_mmlu/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-03,ok
2e-05,16,32.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.037446,0.036762,500,1.037446,0.036762,500,qwen3_autogrid/results_mmlu/lr_2p0000e-05_r16_a32_st500_wd_0p0000e00,ok
