lr,lora_r,lora_alpha,weight_decay,max_steps,eval_every,sft_preset,sft_val_ratio,lora_type,best_eval_perplexity,best_eval_loss,best_iteration,last_eval_perplexity,last_eval_loss,last_iteration,metrics_dir,status
0.002,16,32.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,1.040957,0.040141,500,1.040957,0.040141,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-03_r16_a32_st500_wd_0p0000e00,ok
0.002,16,32.0,0.01,500,100,knowledge_mc_mix,0.1,mlora,1.040957,0.040141,500,1.040957,0.040141,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-03_r16_a32_st500_wd_1p0000e-02,ok
0.002,16,32.0,0.001,500,100,knowledge_mc_mix,0.1,mlora,1.040957,0.040141,500,1.040957,0.040141,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-03_r16_a32_st500_wd_1p0000e-03,ok
0.002,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,1.047518,0.046424,100,1.047802,0.046695,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-03_r32_a64_st500_wd_0p0000e00,ok
0.002,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,mlora,1.047518,0.046424,100,1.047802,0.046695,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-03_r32_a64_st500_wd_1p0000e-02,ok
0.002,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,mlora,1.047518,0.046424,100,1.047802,0.046695,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-03_r32_a64_st500_wd_1p0000e-03,ok
0.002,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,1.04863,0.047484,500,1.04863,0.047484,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-03_r64_a128_st500_wd_0p0000e00,ok
0.002,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,mlora,1.04863,0.047484,500,1.04863,0.047484,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-03_r64_a128_st500_wd_1p0000e-02,ok
0.002,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,mlora,1.04863,0.047484,500,1.04863,0.047484,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-03_r64_a128_st500_wd_1p0000e-03,ok
0.0002,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,1.048647,0.047501,400,1.049005,0.047842,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-04_r64_a128_st500_wd_0p0000e00,ok
0.0002,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,mlora,1.048647,0.047501,400,1.049005,0.047842,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-04_r64_a128_st500_wd_1p0000e-02,ok
0.0002,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,mlora,1.048647,0.047501,400,1.049005,0.047842,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-04_r64_a128_st500_wd_1p0000e-03,ok
0.0002,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,1.055377,0.053898,500,1.055377,0.053898,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-04_r32_a64_st500_wd_0p0000e00,ok
0.0002,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,mlora,1.055377,0.053898,500,1.055377,0.053898,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-02,ok
0.0002,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,mlora,1.055377,0.053898,500,1.055377,0.053898,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-03,ok
0.0002,16,32.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,1.07011,0.067761,500,1.07011,0.067761,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-04_r16_a32_st500_wd_0p0000e00,ok
0.0002,16,32.0,0.01,500,100,knowledge_mc_mix,0.1,mlora,1.07011,0.067761,500,1.07011,0.067761,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-04_r16_a32_st500_wd_1p0000e-02,ok
0.0002,16,32.0,0.001,500,100,knowledge_mc_mix,0.1,mlora,1.07011,0.067761,500,1.07011,0.067761,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-04_r16_a32_st500_wd_1p0000e-03,ok
2e-05,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,10.561255,2.357192,400,10.586953,2.359622,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-05_r64_a128_st500_wd_0p0000e00,ok
2e-05,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,mlora,10.561255,2.357192,400,10.586953,2.359622,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-05_r64_a128_st500_wd_1p0000e-02,ok
2e-05,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,mlora,10.561255,2.357192,400,10.586953,2.359622,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-05_r64_a128_st500_wd_1p0000e-03,ok
2e-05,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,75.667375,4.326347,400,75.74262,4.327341,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-05_r32_a64_st500_wd_0p0000e00,ok
2e-05,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,mlora,75.667375,4.326347,400,75.74262,4.327341,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-05_r32_a64_st500_wd_1p0000e-02,ok
2e-05,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,mlora,75.667375,4.326347,400,75.74262,4.327341,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-05_r32_a64_st500_wd_1p0000e-03,ok
2e-05,16,32.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,117.652316,4.767734,400,117.66379,4.767831,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-05_r16_a32_st500_wd_0p0000e00,ok
2e-05,16,32.0,0.01,500,100,knowledge_mc_mix,0.1,mlora,117.652316,4.767734,400,117.66379,4.767831,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-05_r16_a32_st500_wd_1p0000e-02,ok
2e-05,16,32.0,0.001,500,100,knowledge_mc_mix,0.1,mlora,117.652316,4.767734,400,117.66379,4.767831,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-05_r16_a32_st500_wd_1p0000e-03,ok
2e-06,16,32.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,121.595619,4.800701,100,121.595619,4.800701,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-06_r16_a32_st500_wd_0p0000e00,ok
2e-06,16,32.0,0.01,500,100,knowledge_mc_mix,0.1,mlora,121.595619,4.800701,100,121.595619,4.800701,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-06_r16_a32_st500_wd_1p0000e-02,ok
2e-06,16,32.0,0.001,500,100,knowledge_mc_mix,0.1,mlora,121.595619,4.800701,100,121.595619,4.800701,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-06_r16_a32_st500_wd_1p0000e-03,ok
2e-06,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,121.595619,4.800701,100,121.595619,4.800701,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-06_r32_a64_st500_wd_0p0000e00,ok
2e-06,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,mlora,121.595619,4.800701,100,121.595619,4.800701,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-06_r32_a64_st500_wd_1p0000e-02,ok
2e-06,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,mlora,121.595619,4.800701,100,121.595619,4.800701,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-06_r32_a64_st500_wd_1p0000e-03,ok
2e-06,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,121.595619,4.800701,100,121.595619,4.800701,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-06_r64_a128_st500_wd_0p0000e00,ok
2e-06,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,mlora,121.595619,4.800701,100,121.595619,4.800701,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-06_r64_a128_st500_wd_1p0000e-02,ok
2e-06,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,mlora,121.595619,4.800701,100,121.595619,4.800701,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-06_r64_a128_st500_wd_1p0000e-03,ok
2e-07,16,32.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,121.595619,4.800701,100,121.595619,4.800701,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-07_r16_a32_st500_wd_0p0000e00,ok
2e-07,16,32.0,0.01,500,100,knowledge_mc_mix,0.1,mlora,121.595619,4.800701,100,121.595619,4.800701,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-07_r16_a32_st500_wd_1p0000e-02,ok
2e-07,16,32.0,0.001,500,100,knowledge_mc_mix,0.1,mlora,121.595619,4.800701,100,121.595619,4.800701,500,qwen3_autogrid/results_mmlu_mlora/lr_2p0000e-07_r16_a32_st500_wd_1p0000e-03,ok
