lr,lora_r,lora_alpha,weight_decay,max_steps,eval_every,sft_preset,sft_val_ratio,lora_type,best_eval_perplexity,best_eval_loss,best_iteration,last_eval_perplexity,last_eval_loss,last_iteration,metrics_dir,status,mmlu_mean_acc,mmlu_eval_json
0.0002,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,1.050177,0.048959,400,1.050585,0.049347,500,qwen3_autogrid/results_mmlu_mlora_refine/lr_2p0000e-04_r32_a64_st500_wd_0p0000e00,ok,0.5427551105460133,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_mlora_refine/lr_2p0000e-04_r32_a64_st500_wd_0p0000e00/mmlu_eval.json
0.0002,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,mlora,1.050177,0.048959,400,1.050585,0.049347,500,qwen3_autogrid/results_mmlu_mlora_refine/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-02,ok,0.5427551105460133,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_mlora_refine/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-02/mmlu_eval.json
0.0002,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,mlora,1.050177,0.048959,400,1.050585,0.049347,500,qwen3_autogrid/results_mmlu_mlora_refine/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-03,ok,0.5427551105460133,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_mlora_refine/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-03/mmlu_eval.json
0.0002,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,1.04388,0.042945,500,1.04388,0.042945,500,qwen3_autogrid/results_mmlu_mlora_refine/lr_2p0000e-04_r64_a128_st500_wd_0p0000e00,ok,0.5350865111742364,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_mlora_refine/lr_2p0000e-04_r64_a128_st500_wd_0p0000e00/mmlu_eval.json
0.0002,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,mlora,1.04388,0.042945,500,1.04388,0.042945,500,qwen3_autogrid/results_mmlu_mlora_refine/lr_2p0000e-04_r64_a128_st500_wd_1p0000e-02,ok,0.5350865111742364,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_mlora_refine/lr_2p0000e-04_r64_a128_st500_wd_1p0000e-02/mmlu_eval.json
0.0002,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,mlora,1.04388,0.042945,500,1.04388,0.042945,500,qwen3_autogrid/results_mmlu_mlora_refine/lr_2p0000e-04_r64_a128_st500_wd_1p0000e-03,ok,0.5350865111742364,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_mlora_refine/lr_2p0000e-04_r64_a128_st500_wd_1p0000e-03/mmlu_eval.json
0.0003,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,1.0446,0.043634,400,1.044743,0.043771,500,qwen3_autogrid/results_mmlu_mlora_refine/lr_3p0000e-04_r32_a64_st500_wd_0p0000e00,ok,0.5350865111742364,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_mlora_refine/lr_3p0000e-04_r32_a64_st500_wd_0p0000e00/mmlu_eval.json
0.0003,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,mlora,1.0446,0.043634,400,1.044743,0.043771,500,qwen3_autogrid/results_mmlu_mlora_refine/lr_3p0000e-04_r32_a64_st500_wd_1p0000e-02,ok,0.5350865111742364,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_mlora_refine/lr_3p0000e-04_r32_a64_st500_wd_1p0000e-02/mmlu_eval.json
0.0003,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,mlora,1.0446,0.043634,400,1.044743,0.043771,500,qwen3_autogrid/results_mmlu_mlora_refine/lr_3p0000e-04_r32_a64_st500_wd_1p0000e-03,ok,0.5350865111742364,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_mlora_refine/lr_3p0000e-04_r32_a64_st500_wd_1p0000e-03/mmlu_eval.json
0.0004,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,mlora,1.041457,0.040621,400,1.04147,0.040633,500,qwen3_autogrid/results_mmlu_mlora_refine/lr_4p0000e-04_r32_a64_st500_wd_0p0000e00,ok,0.533018484367106,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_mlora_refine/lr_4p0000e-04_r32_a64_st500_wd_0p0000e00/mmlu_eval.json
