lr,lora_r,lora_alpha,weight_decay,max_steps,eval_every,sft_preset,sft_val_ratio,lora_type,best_eval_perplexity,best_eval_loss,best_iteration,last_eval_perplexity,last_eval_loss,last_iteration,metrics_dir,status
0.0002,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.035224,0.034618,200,1.037694,0.037001,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r64_a128_st500_wd_1p0000e-02,ok
0.0002,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.035224,0.034618,200,1.037694,0.037001,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r64_a128_st500_wd_1p0000e-03,ok
0.0002,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.037309,0.03663,200,1.040611,0.039808,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r32_a64_st500_wd_0p0000e00,ok
0.0002,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.037309,0.03663,200,1.040611,0.039808,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-02,ok
0.0002,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.037309,0.03663,200,1.040611,0.039808,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-03,ok
0.0003,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.038011,0.037306,200,1.044783,0.043809,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r32_a64_st500_wd_1p0000e-03,ok
0.0003,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.040217,0.03943,200,1.041133,0.04031,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r32_a64_st500_wd_0p0000e00,ok
0.0003,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.040217,0.03943,200,1.041133,0.04031,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r32_a64_st500_wd_1p0000e-02,ok
0.0002,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.040892,0.040078,200,1.045303,0.044307,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r64_a128_st500_wd_0p0000e00,ok
0.0004,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.042207,0.041341,200,1.046256,0.045218,500,qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r32_a64_st500_wd_1p0000e-02,ok
0.0003,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.043819,0.042886,200,1.046807,0.045745,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r64_a128_st500_wd_1p0000e-02,ok
0.0004,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.043961,0.043022,200,1.045298,0.044302,500,qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r32_a64_st500_wd_0p0000e00,ok
0.0004,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.043961,0.043022,200,1.045298,0.044302,500,qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r32_a64_st500_wd_1p0000e-03,ok
0.0006,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.044537,0.043573,500,1.044537,0.043573,500,qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r32_a64_st500_wd_0p0000e00,ok
0.0006,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.044644,0.043676,500,1.044644,0.043676,500,qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r32_a64_st500_wd_1p0000e-03,ok
0.0004,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.044769,0.043796,500,1.044769,0.043796,500,qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r64_a128_st500_wd_0p0000e00,ok
0.0004,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.044769,0.043796,500,1.044769,0.043796,500,qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r64_a128_st500_wd_1p0000e-03,ok
0.0006,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.045785,0.044767,500,1.045785,0.044767,500,qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r32_a64_st500_wd_1p0000e-02,ok
0.0003,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.046454,0.045408,500,1.046454,0.045408,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r64_a128_st500_wd_0p0000e00,ok
0.0004,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.04685,0.045786,500,1.04685,0.045786,500,qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r64_a128_st500_wd_1p0000e-02,ok
0.0003,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.048617,0.047473,500,1.048617,0.047473,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r64_a128_st500_wd_1p0000e-03,ok
0.0006,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.056764,0.055212,500,1.056764,0.055212,500,qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r64_a128_st500_wd_0p0000e00,ok
0.001,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.061479,0.059663,500,1.061479,0.059663,500,qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r32_a64_st500_wd_1p0000e-03,ok
0.0006,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.06593,0.063847,500,1.06593,0.063847,500,qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r64_a128_st500_wd_1p0000e-02,ok
0.0006,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.06593,0.063847,500,1.06593,0.063847,500,qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r64_a128_st500_wd_1p0000e-03,ok
0.001,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.074896,0.072224,500,1.074896,0.072224,500,qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r32_a64_st500_wd_1p0000e-02,ok
0.001,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.083167,0.079889,500,1.083167,0.079889,500,qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r32_a64_st500_wd_0p0000e00,ok
0.0015,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.124449,0.117293,500,1.124449,0.117293,500,qwen3_autogrid/results_mmlu_refine/lr_1p5000e-03_r32_a64_st500_wd_1p0000e-02,ok
0.001,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.124488,0.117328,500,1.124488,0.117328,500,qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r64_a128_st500_wd_0p0000e00,ok
0.001,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.124488,0.117328,500,1.124488,0.117328,500,qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r64_a128_st500_wd_1p0000e-02,ok
0.001,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.124488,0.117328,500,1.124488,0.117328,500,qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r64_a128_st500_wd_1p0000e-03,ok
