lr,lora_r,lora_alpha,weight_decay,max_steps,eval_every,sft_preset,sft_val_ratio,lora_type,best_eval_perplexity,best_eval_loss,best_iteration,last_eval_perplexity,last_eval_loss,last_iteration,metrics_dir,status,mmlu_mean_acc,mmlu_eval_json
0.0003,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.038011,0.037306,200,1.044783,0.043809,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r32_a64_st500_wd_1p0000e-03,ok,0.496813941735955,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r32_a64_st500_wd_1p0000e-03/mmlu_eval.json
0.0004,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.042207,0.041341,200,1.046256,0.045218,500,qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r32_a64_st500_wd_1p0000e-02,ok,0.49174681000569337,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r32_a64_st500_wd_1p0000e-02/mmlu_eval.json
0.0003,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.040217,0.03943,200,1.041133,0.04031,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r32_a64_st500_wd_0p0000e00,ok,0.48754648649900667,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r32_a64_st500_wd_0p0000e00/mmlu_eval.json
0.0003,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.040217,0.03943,200,1.041133,0.04031,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r32_a64_st500_wd_1p0000e-02,ok,0.48754648649900667,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r32_a64_st500_wd_1p0000e-02/mmlu_eval.json
0.0003,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.046454,0.045408,500,1.046454,0.045408,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r64_a128_st500_wd_0p0000e00,ok,0.4787440442548794,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r64_a128_st500_wd_0p0000e00/mmlu_eval.json
0.0002,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.037309,0.03663,200,1.040611,0.039808,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-03,ok,0.47534075925942143,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-03/mmlu_eval.json
0.0002,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.037309,0.03663,200,1.040611,0.039808,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r32_a64_st500_wd_0p0000e00,ok,0.47534075702994405,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r32_a64_st500_wd_0p0000e00/mmlu_eval.json
0.0002,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.037309,0.03663,200,1.040611,0.039808,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-02,ok,0.47534075702994405,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-02/mmlu_eval.json
0.0004,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.043961,0.043022,200,1.045298,0.044302,500,qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r32_a64_st500_wd_0p0000e00,ok,0.47283237306214315,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r32_a64_st500_wd_0p0000e00/mmlu_eval.json
0.0004,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.043961,0.043022,200,1.045298,0.044302,500,qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r32_a64_st500_wd_1p0000e-03,ok,0.47283237306214315,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r32_a64_st500_wd_1p0000e-03/mmlu_eval.json
0.0004,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.04685,0.045786,500,1.04685,0.045786,500,qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r64_a128_st500_wd_1p0000e-02,ok,0.4533314329559306,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r64_a128_st500_wd_1p0000e-02/mmlu_eval.json
