iteration,train_loss,train_perplexity
1,39.507689,485165195.409790
20,7.715793,2243.500916
40,4.075274,58.866579
60,2.834939,17.029366
80,2.211223,9.126867
100,1.839402,6.292773
120,1.590481,4.906109
140,1.414672,4.115135
160,1.286423,3.619815
180,1.175180,3.238726
200,1.082604,2.952358
220,1.006453,2.735879
240,0.950003,2.585718
260,0.899343,2.457989
280,0.854975,2.351316
300,0.802642,2.231429
320,0.756242,2.130256
340,0.715896,2.046018
360,0.681800,1.977433
380,0.649327,1.914252
400,0.620264,1.859418
420,0.594601,1.812308
440,0.570382,1.768942
460,0.548200,1.730135
480,0.527625,1.694901
500,0.509101,1.663795
