iteration,train_loss,train_perplexity
1,39.320923,485165195.409790
20,6.285155,536.547324
40,3.398683,29.924658
60,2.395447,10.973098
80,1.904303,6.714723
100,1.598743,4.946811
120,1.403626,4.069931
140,1.260973,3.528853
160,1.161797,3.195672
180,1.075801,2.932341
200,1.000822,2.720516
220,0.937932,2.554694
240,0.888786,2.432175
260,0.847323,2.333393
280,0.807955,2.243316
300,0.761191,2.140824
320,0.720310,2.055070
340,0.683138,1.980081
360,0.651916,1.919215
380,0.623335,1.865138
400,0.597690,1.817915
420,0.575413,1.777864
440,0.554164,1.740485
460,0.533296,1.704541
480,0.515057,1.673734
500,0.497489,1.644586
