iteration,train_loss,train_accuracy
50,0.7085,0.4469
100,0.7081,0.4500
150,0.7084,0.4485
200,0.7080,0.4484
250,0.7088,0.4450
300,0.7078,0.4506
350,0.7081,0.4484
400,0.7082,0.4480
450,0.7078,0.4492
500,0.7076,0.4481
550,0.7079,0.4464
600,0.7081,0.4455
650,0.7079,0.4466
700,0.7079,0.4464
750,0.7077,0.4467
800,0.7078,0.4460
850,0.7076,0.4466
900,0.7077,0.4455
950,0.7077,0.4444
1000,0.7074,0.4454
1050,0.7074,0.4454
1100,0.7072,0.4461
1150,0.7073,0.4456
1200,0.7071,0.4464
1250,0.7069,0.4470
1300,0.7070,0.4459
1350,0.7068,0.4458
1400,0.7067,0.4467
1450,0.7064,0.4476
1500,0.7063,0.4474
1550,0.7060,0.4485
1600,0.7058,0.4491
1650,0.7055,0.4508
1700,0.7053,0.4519
1750,0.7050,0.4531
1800,0.7047,0.4544
1850,0.7043,0.4565
1900,0.7040,0.4589
1950,0.7035,0.4617
2000,0.7030,0.4646
2050,0.7024,0.4677
2100,0.7018,0.4708
2150,0.6710,0.5992
2200,0.6730,0.5801
2250,0.6719,0.5762
2300,0.6704,0.5762
2350,0.6689,0.5756
2400,0.6662,0.5775
2450,0.6647,0.5755
2500,0.6630,0.5743
2550,0.6606,0.5748
2600,0.6582,0.5743
2650,0.6562,0.5745
2700,0.6536,0.5753
2750,0.6505,0.5770
2800,0.6479,0.5776
2850,0.6453,0.5782
2900,0.6422,0.5808
2950,0.6395,0.5824
3000,0.6362,0.5870
3050,0.6320,0.5924
3100,0.6279,0.5985
3150,0.6233,0.6057
3200,0.6188,0.6135
3250,0.6141,0.6215
3300,0.6090,0.6294
3350,0.6040,0.6365
3400,0.5986,0.6442
3450,0.5932,0.6515
3500,0.5878,0.6585
3550,0.5826,0.6645
3600,0.5774,0.6703
3650,0.5723,0.6760
3700,0.5672,0.6813
3750,0.5616,0.6866
3800,0.5567,0.6911
3850,0.5522,0.6954
3900,0.5481,0.6990
3950,0.5440,0.7030
4000,0.5399,0.7066
4050,0.5358,0.7101
4100,0.5315,0.7138
4150,0.5281,0.7167
4200,0.5242,0.7202
4250,0.3475,0.8624
4300,0.3505,0.8618
4350,0.3613,0.8510
4400,0.3604,0.8499
4450,0.3630,0.8496
4500,0.3648,0.8489
4550,0.3641,0.8491
4600,0.3599,0.8531
4650,0.3591,0.8542
4700,0.3564,0.8557
4750,0.3564,0.8549
4800,0.3554,0.8552
4850,0.3541,0.8560
4900,0.3526,0.8567
4950,0.3534,0.8558
5000,0.3520,0.8570
5050,0.3525,0.8566
5100,0.3517,0.8573
5150,0.3514,0.8576
5200,0.3510,0.8577
5250,0.3499,0.8583
5300,0.3502,0.8582
5350,0.3504,0.8577
5400,0.3493,0.8581
5450,0.3492,0.8578
5500,0.3493,0.8575
5550,0.3498,0.8570
5600,0.3491,0.8570
5650,0.3489,0.8569
5700,0.3482,0.8571
5750,0.3476,0.8573
5800,0.3470,0.8573
5850,0.3456,0.8581
5900,0.3455,0.8579
5950,0.3457,0.8580
6000,0.3452,0.8581
6050,0.3446,0.8582
6100,0.3439,0.8586
6150,0.3432,0.8590
6200,0.3426,0.8592
6250,0.3417,0.8597
6300,0.3407,0.8601
6350,0.3292,0.8610
6400,0.3163,0.8686
6450,0.3180,0.8691
6500,0.3134,0.8717
6550,0.3120,0.8729
6600,0.3101,0.8740
6650,0.3109,0.8739
6700,0.3124,0.8725
6750,0.3119,0.8726
6800,0.3125,0.8726
6850,0.3132,0.8719
6900,0.3157,0.8700
6950,0.3168,0.8694
7000,0.3165,0.8695
7050,0.3186,0.8684
7100,0.3173,0.8695
